Year,Combined,Breast,Colorectum,Leukemia,Liver and intrahepatic bile duct,Lung and bronchus,Ovary,Pancreas,Stomach,Uterus
2005,156.5,24.1,15.1,5.5,4.5,40.8,8.8,9.5,2.7,6.5
2006,154.6,23.6,15,5.5,4.5,40.3,8.8,9.6,2.7,6.7
2007,152,23,14.6,5.3,4.4,40.2,8.5,9.5,2.6,6.6
2008,149.3,22.6,14.3,5.3,4.4,39.2,8.2,9.7,2.5,6.6
2009,147.1,22.2,13.6,5.3,4.5,38.7,8.1,9.5,2.4,6.5
2010,145.7,21.9,13.3,5.2,4.7,38,8.1,9.6,2.5,6.7
2011,143.5,21.5,13.1,5.2,4.7,37.1,7.8,9.5,2.3,6.8
2012,141.8,21.3,12.7,5.1,4.9,36.5,7.7,9.6,2.4,6.8
2013,139.1,20.7,12.4,5,4.9,35.5,7.5,9.4,2.2,7
2014,137.8,20.5,12.2,5,5.1,34.8,7.3,9.5,2.3,7
